06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
Fluorouracil,D005472,51-21-8,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,,SLCO2A1,12.91,,15805072
Iron-Dextran Complex,D007505,9004-66-4,Stomach Neoplasms,MESH:D013274,,IL6,40.26,,23593346
acetamide,C030686,60-35-5,Atrioventricular Block,MESH:D054537,,GNAI2,4.84,,17277016
Dietary Fats,D004041,,Adenocarcinoma of Lung,MESH:D000077192,,CAPG,68.22,,19381893
Topotecan,D019772,123948-87-8,Multiple Sclerosis,MESH:D009103,,CDK17,25.49,,31068361
"3-amino-1,4-dimethyl-5H-pyrido(4,3-b)indole",C019132,,"Hypertension, Pulmonary",MESH:D006976,,TPH1,6.89,,18506000
Glucosamine,D005944,,Leukemia,MESH:D007938,,JAK2,7.7,,19636672
perfluoro-n-nonanoic acid,C101816,375-95-1,"COENZYME Q10 DEFICIENCY, PRIMARY, 4",OMIM:612016,,COQ8A,4.21,612016,
Glycerol,D005990,56-81-5,Coronavirus Infections,MESH:D018352,,CCL2,3.49,,20484496
ginkgolide C,C058295,15291-76-6,Barrett Esophagus,MESH:D001471,,RELA,4.15,,15387324
Sodium Chloride,D012965,,Stroke,MESH:D020521,,IL6,12.45,,18319729
CGP 52608,C092451,87958-67-6,Bone Neoplasms,MESH:D001859,,BAP1,3.26,,25231345
Silicon Dioxide,D012822,7631-86-9,Microcephaly,MESH:D008831,,BUB1B,3.11,,15475955
Niclosamide,D009534,50-65-7,Substance-Related Disorders,MESH:D019966,,PBX1,1.94,,20098672
sulfoxaflor,C560328,,"Epilepsy, Nocturnal Frontal Lobe, Type 1",MESH:C563930,,CHRNA4,6.43,600513,
"lipopolysaccharide, E coli O55-B5",C482199,,"Neuropathy, hereditary motor and sensory, Okinawa type",MESH:C535717,,TFG,4.92,604484,
Quercetin,D011794,117-39-5,Myocardial Ischemia,MESH:D017202,,ACTB,114.42,,16214533
yakuchinone-A,C042566,78954-23-1,Kidney Diseases,MESH:D007674,,IL17A,10.51,,37815028
Silicon Dioxide,D012822,7631-86-9,"Carcinoma, Lobular",MESH:D018275,,CDH1,5.42,,17660459|8557030
lead acetate,C008261,301-04-2,Lung Neoplasms,MESH:D008175,,CRP,101.47,,17114654
MK0626,C570834,,Ovarian Neoplasms,MESH:D010051,,SOD2,3.62,,16179351|18594523
anacardic acid,C088115,18654-18-7,Arsenic Poisoning,MESH:D020261,,TNF,10.67,,16835338
peptide 5F,C431648,,Disease Progression,MESH:D018450,,HIF1A,4.88,,30381462
"3,4-Methylenedioxyamphetamine",D015104,4764-17-4,Autism Spectrum Disorder,MESH:D000067877,,PTGS1,9.82,,35663546
phosphinothricin,C003121,51276-47-2,Peripheral Nervous System Diseases,MESH:D010523,,GFAP,2.39,,10447555
perfluorooctanesulfonamide,C063900,754-91-6,Colorectal Neoplasms,MESH:D015179,,CCND1,23.47,114500,
perfluoro-n-nonanoic acid,C101816,375-95-1,Breast Neoplasms,MESH:D001943,,IFNG,129.96,,19446661
imidacloprid,C082359,105827-78-9,Inflammation,MESH:D007249,,MPO,14.75,,10407471|19066340|19326902|23371441|23451061
titanium dioxide,C009495,13463-67-7,Oligospermia,MESH:D009845,,BRWD1,13.15,,18353305
Estradiol,D004958,50-28-2,"Leukemia, Promyelocytic, Acute",MESH:D015473,,NPM1,26.46,,14508522|26285909
sarpogrelate,C064294,86819-20-7,Metabolic Syndrome,MESH:D024821,,IL6,20.57,,16644639
Selenium,D012643,7782-49-2,Obesity,MESH:D009765,,GNAS,80.57,,17062894
epimedin B,C106053,110623-73-9,"Carcinoma, Hepatocellular",MESH:D006528,,TNF,3.38,,27022031
diallyl disulfide,C028009,2179-57-9,Cholestasis,MESH:D002779,,NQO1,13.96,,22461449
Clofibrate,D002994,637-07-0,"Carcinoma, Renal Cell",MESH:D002292,,TNFSF10,36.64,,20403343
2'-hydroxyflavanone,C520534,,Gout,MESH:D006073,,IL1RN,9.3,,18403674
bisphenol S,C543008,,"Mesothelioma, Malignant",MESH:D000086002,,ULK2,107.13,,26928227
"4-(3-3,4-p-menthadien-(1,8)-yl)olivetol",C479832,,"Lymphoma, Non-Hodgkin",MESH:D008228,,BCL2,3.22,,26239085|3287162
1-(5-chloro-6-(trifluoromethoxy)-1H-benzoimidazol-2-yl)-1H-pyrazole-4-carboxylic acid,C559853,,Seizures,MESH:D012640,,ALPL,3.52,,27466191|7550313
tridecane,C094074,629-50-5,Colitis,MESH:D003092,,IL6,3.9,,22410118|24548422
Thymol,D013943,89-83-8,Hyperemia,MESH:D006940,,PTGS2,7.56,,11820457
Propafenone,D011405,54063-53-5,Edema,MESH:D004487,,CASP3,2.02,,19874808
1-methylanthracene,C051246,610-48-0,Rett Syndrome,MESH:D015518,,EGR2,4.14,,19000991
Eicosapentaenoic Acid,D015118,1553-41-9,"Granulomatous Disease, Chronic",MESH:D006105,,CYBA,5.12,,2243141
tPA stop,C115645,,Hypertension,MESH:D006973,,PLAT,3.99,,22352330
mono-benzyl phthalate,C103325,2528-16-7,Neoplasm Invasiveness,MESH:D009361,,MALAT1,34.12,,25538231|26735578
sulforaphane,C016766,,Amphetamine-Related Disorders,MESH:D019969,,EPHX1,16.77,,19598248
Diglycerides,D004075,,"Diabetes Mellitus, Experimental",MESH:D003921,,PRKCA,28.57,,12198386
dorsomorphin,C516138,,"Cerebral Amyloid Angiopathy, Familial",MESH:D028243,,CST3,3.86,105150,18566660
Isoproterenol,D007545,7683-59-2,Brain Ischemia,MESH:D002545,,IL1A,77.38,,15829914
nonylphenol,C025256,25154-52-3,Neoplasm Invasiveness,MESH:D009361,,HGF,52.32,,15654357|9932610
propionaldehyde,C005556,123-38-6,Memory Disorders,MESH:D008569,,HLA-DPB1,4.84,,14975599
Polystyrenes,D011137,,"Colitis, Ulcerative",MESH:D003093,,CXCL8,25.0,,12133438|15955209
Particulate Matter,D052638,,Carcinoma,MESH:D002277,,ANGPTL4,86.74,,21489049
fidarestat,C077139,136087-85-9,Cataract,MESH:D002386,,AKR1B1,4.37,,21329682|21376710|25541468|28137510
quercetin 3-O-glucuronide,C443401,,Stomach Ulcer,MESH:D013276,,TNF,28.89,,15138204
pentabrominated diphenyl ether 100,C517827,,Liver Neoplasms,MESH:D008113,,DICER1,5.0,,24478143
tamibarotene,C061133,94497-51-5,Alkalosis,MESH:D000471,,AGT,2.85,,7182184
Cyclosporine,D016572,59865-13-3,LEPTIN RECEPTOR DEFICIENCY,OMIM:614963,,LEPR,3.45,614963,
Bortezomib,D000069286,,"Waardenburg Syndrome, Type 4c",MESH:C567679,,SOX10,5.27,613266,
"alpha-cyano-(3,4-dihydroxy)-N-benzylcinnamide",C095512,,Weight Gain,MESH:D015430,,TNF,14.46,,20521320
KN 93,C072105,139298-40-1,Ovarian Neoplasms,MESH:D010051,,IL6,19.16,,19401270
nickel monoxide,C028007,1313-99-1,"Liver Cirrhosis, Experimental",MESH:D008106,,SLC17A1,177.04,,17072980|25380136
Sulfadimethoxine,D013412,122-11-2,Aicardi-Goutieres syndrome,MESH:C535607,,ADAR,3.78,615010,23001123
"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,Autoimmune Diseases,MESH:D001327,,HSPA9,6.87,,21850155
Poloxamer,D020442,106392-12-5,Cardiomyopathies,MESH:D009202,,PTGS2,13.9,,11978490
Lovastatin,D008148,75330-75-5,Gallbladder Neoplasms,MESH:D005706,,BCL2,12.55,,16904648
imidacloprid,C082359,105827-78-9,"Diabetes Mellitus, Experimental",MESH:D003921,,IL6,74.75,,22138235
Palm Oil,D000073878,,Asthma,MESH:D001249,,CCL2,8.86,,19373627
Dietary Fats,D004041,,Multiple Organ Failure,MESH:D009102,,MMP9,4.74,,15259001
trimellitic anhydride,C015559,552-30-7,Colonic Neoplasms,MESH:D003110,,ACTG2,41.69,,15059925
Zinc Sulfate,D019287,7733-02-0,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,,CYP2E1,11.73,,18990727
Taurocholic Acid,D013656,81-24-3,Anthracosis,MESH:D055008,,TNF,8.81,,20005085
"(6,7-dimethoxyquinolin-4-yl)(5-methoxy-2,2-dimethyl-2H-chromen-6-yl)methyl acetate",C000601052,,Nervous System Diseases,MESH:D009422,,CASP3,3.13,,12196588
arsenite,C015001,15502-74-6,"Infertility, Male",MESH:D007248,,KMT2D,11.46,,19348672
piperlongumine,C498077,,Hypersensitivity,MESH:D006967,,ALB,18.95,,8431628
ciji-hua'ai-baosheng,C000628468,,Uterine Cervical Neoplasms,MESH:D002583,,VEGFA,9.1,,26432044
Valproic Acid,D014635,99-66-1,"Anemia, Sickle Cell",MESH:D000755,,UMPS,2.45,,38827
Lipopolysaccharides,D008070,,Liver Diseases,MESH:D008107,,ALPL,15.89,,19784758
"Sodium Chloride, Dietary",D017673,,Cardiotoxicity,MESH:D066126,,TP53,12.74,,30009776|34713381
cyhalothrin,C037304,68085-85-8,Tetralogy of Fallot,MESH:D013771,,FLT4,5.91,,28991257
Hydrogen Peroxide,D006861,7722-84-1,Multiple Sclerosis,MESH:D009103,,TNFSF14,32.67,,24076602
Ethylenethiourea,D005031,96-45-7,Cryptorchidism,MESH:D003456,,INSL3,7.24,219050,14687758|16102138
azoxystrobin,C087670,131860-33-8,"Glomerulonephritis, IGA",MESH:D005922,,TGFB1,4.88,,11728950
Magnesium,D008274,7439-95-4,Chemical and Drug Induced Liver Injury,MESH:D056486,,CCL2,13.6,,20623750
Cadmium Chloride,D019256,10108-64-2,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 22",OMIM:612337,,ZBTB18,3.86,612337,
Asian ginseng,C000713447,,Cystic Fibrosis,MESH:D003550,,TGFB1,3.47,219700,
Fulvestrant,D000077267,129453-61-8,Retinitis Pigmentosa,MESH:D012174,,ATF6,2.92,,26029869
hyperoside,C021304,482-36-0,Stomach Neoplasms,MESH:D013274,,MAPK3,23.62,,17003101
luteolin-7-O-glucuronide,C456096,,Polymyositis,MESH:D017285,,IL6,16.61,,7979221
valdecoxib,C406224,,"Cholestasis, Intrahepatic",MESH:D002780,,EGR1,2.63,,18364083|22094456
Quinic Acid,D011801,77-95-2,Venous Thromboembolism,MESH:D054556,,TNF,3.43,,22473048
Methylmercury Compounds,D008767,,Wounds and Injuries,MESH:D014947,,IL6,7.23,,21192278
Copper Sulfate,D019327,7758-98-7,Mouth Neoplasms,MESH:D009062,,S100P,31.14,,31066245
Phenobarbital,D010634,50-06-6,Neoplastic Processes,MESH:D009385,,HRAS,3.84,,12082015
glycidamide,C071834,,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,,NQO1,17.9,,11774269|17332311
Troglitazone,D000077288,97322-87-7,Neoplasm Metastasis,MESH:D009362,,VEGFA,66.41,,15659795|18930813|20158913
methacrylaldehyde,C039175,78-85-3,"SPASTIC PARAPLEGIA 63, AUTOSOMAL RECESSIVE",OMIM:615686,,AMPD2,4.81,615686,
o-Phthalaldehyde,D009764,643-79-8,Breast Neoplasms,MESH:D001943,,THBS1,26.7,,9309585
ochratoxin A,C025589,303-47-9,Stomach Ulcer,MESH:D013276,,EPO,4.24,,20723003
indium trichloride,C020758,10025-82-8,Temporomandibular Joint Disorders,MESH:D013705,,COMT,5.17,,25218601
GSK690693,C528328,,"Anemia, Sickle Cell",MESH:D000755,,TNF,3.96,,14965870
Mitoxantrone,D008942,65271-80-9,Cleft Lip,MESH:D002971,,MYC,2.88,,24859337
"5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one",C080669,,Berylliosis,MESH:D001607,,IL6,9.25,,8428540
"12-O-tetradecanoylphorbol-1,3-acetate",C554292,,Brain Ischemia,MESH:D002545,,SOD2,3.86,,15060315|17901229|19429140
"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol",C054649,83003-12-7,Breast Neoplasms,MESH:D001943,,SREBF2,38.88,,30394316
Triclosan,D014260,3380-34-5,Medulloblastoma,MESH:D008527,,MYCL,7.04,,19270706
Gentamicins,D005839,,Premature Birth,MESH:D047928,,IL6,2.04,,26055944
chelidonine,C062047,476-32-4,Weight Loss,MESH:D015431,,MAPT,3.41,,24556215
Simvastatin,D019821,79902-63-9,Papilloma,MESH:D010212,,SOD2,11.98,,11507057
2-chloro-5-nitrobenzanilide,C457499,,Hepatomegaly,MESH:D006529,,RELA,12.78,,30026087
Valproic Acid,D014635,99-66-1,Epidermolysis bullosa simplex with mottled pigmentation,MESH:C535959,,KRT5,3.48,131960,
Dibutyl Phthalate,D003993,84-74-2,"Dermatitis, Atopic",MESH:D003876,,CCL5,11.21,,18249437
diisobutyl phthalate,C025605,84-69-5,Krause-Kivlin syndrome,MESH:C537617,,B3GLCT,5.14,261540,16909395
Pregnenolone Carbonitrile,D011285,1434-54-4,"Pneumonia, Aspiration",MESH:D011015,,NOS2,2.26,,15607125
"6,7-dihydroxyflavone",C485383,,"Carcinoma, Transitional Cell",MESH:D002295,,TP53,3.36,,22929185
Ethinyl Estradiol,D004997,57-63-6,Urinary Bladder Neoplasms,MESH:D001749,,LIG1,41.78,,8631603
OTX015,C000605331,,Prostatic Neoplasms,MESH:D011471,,GGT1,26.0,,17013881
quifenadine,C014742,10447-39-9,"Cell Transformation, Neoplastic",MESH:D002471,,KCNH2,4.9,,24830940
luteolin-7-glucoside,C066408,,Myocardial Infarction,MESH:D009203,,CAT,24.83,,21600015
Flavonoids,D005419,,Diabetes Mellitus,MESH:D003920,,ADIPOQ,4.48,,12860835
Estradiol,D004958,50-28-2,Brain Diseases,MESH:D001927,,TSC1,11.49,,21062901
Graphite,D006108,7782-42-5,"Mesothelioma, Malignant",MESH:D000086002,,CCL3,29.75,,25162674
N(alpha)-acetyllysine,C002315,1946-82-3,Non-alcoholic Fatty Liver Disease,MESH:D065626,,GPT,4.52,,35654975
Methylmercury Compounds,D008767,,"PROTHROMBIN DEFICIENCY, CONGENITAL",OMIM:613679,,F2,4.55,613679,
tributyltin,C011559,688-73-3,End Stage Liver Disease,MESH:D058625,,TSPO,5.62,,15025246
Acetaminophen,D000082,103-90-2,"Liver Cirrhosis, Experimental",MESH:D008106,,SRR,812.32,,25380136
trichostatin A,C012589,58880-19-6,Cognitive Dysfunction,MESH:D060825,,BIN1,3.22,,30503753
Ivermectin,D007559,70288-86-7,Polycystic Ovary Syndrome,MESH:D011085,,NOP53,22.62,,21411543
curcumol,C022801,4871-97-0,Brain Injuries,MESH:D001930,,VEGFA,12.05,,18065154
Silicon Dioxide,D012822,7631-86-9,Esophageal Squamous Cell Carcinoma,MESH:D000077277,,H19,53.74,,32739445
Carbidopa,D002230,38821-49-7,Copper-Overload Cirrhosis,MESH:C566858,,CASP3,10.0,,22879914
vanadyl sulfate,C034028,27774-13-6,Albuminuria,MESH:D000419,,IL6,5.31,,17167242
decabromobiphenyl ether,C010902,1163-19-5,Disease Progression,MESH:D018450,,KEAP1,56.99,,20124447
Triclosan,D014260,3380-34-5,Proteinuria,MESH:D011507,,SPP1,2.38,,11972865
Carbenoxolone,D002229,5697-56-3,"Hypoxia-Ischemia, Brain",MESH:D020925,,NOS2,4.19,,23694759
Cyclosporine,D016572,59865-13-3,Skin Diseases,MESH:D012871,,GSTM1,11.6,,16353154
Triiodothyronine,D014284,6893-02-3,Hyperglycemia,MESH:D006943,,HSD11B1,5.3,,14697232
Deferiprone,D000077543,30652-11-0,Diabetic Angiopathies,MESH:D003925,,CASP3,8.76,,25381014
Trichloroethylene,D014241,79-01-6,Inflammation,MESH:D007249,,CXCR3,4.13,,12517959
Camptothecin,D002166,7689-03-4,Erectile Dysfunction,MESH:D007172,,BCL2,3.1,,12394778
Lactic Acid,D019344,50-21-5,ACTH-Secreting Pituitary Adenoma,MESH:D049913,,USP8,6.55,219090,25485838
Acetaldehyde,D000079,75-07-0,Gliosis,MESH:D005911,,MAPK1,3.68,,19402951
arachidonylcyclopropylamide,C119324,,Schizophrenia,MESH:D012559,,BDNF,4.16,,12951204|14708030|17442489|18408624
T0901317,C423915,,Lung Neoplasms,MESH:D008175,,APOE,25.67,,19180532|20430468
Vigabatrin,D020888,60643-86-9,DIAMOND-BLACKFAN ANEMIA 16,OMIM:617408,,RPL27,5.4,617408,
"3,3',4,4'-tetrabromobiphenyl",C036685,77102-82-0,"Liver Cirrhosis, Experimental",MESH:D008106,,CYP17A1,5.52,,17072980
Chlorogenic Acid,D002726,327-97-9,Ovarian Hyperstimulation Syndrome,MESH:D016471,,FSHR,4.85,608115,
"2,2',4,4'-tetrabromodiphenyl ether",C511295,,Bartter Syndrome,MESH:D001477,,SLC12A1,3.77,,10561751
ginger extract,C000713927,,Hyperglycemia,MESH:D006943,,IL6,2.05,,29035695
Triiodothyronine,D014284,6893-02-3,Osteoarthritis,MESH:D010003,,RCN3,32.13,,18784066
Calcium,D002118,7440-70-2,Hypothermia,MESH:D007035,,TNF,8.49,,16369138|34942311
bisphenol E,C000705701,,Pleurisy,MESH:D010998,,TNF,9.83,,11181422
5-(3-(4-(4-benzylpiperazin-1-yl)-N-(4-phenylthiazol-2-yl))propanamide,C000607343,,Chemical and Drug Induced Liver Injury,MESH:D056486,,IL6,9.23,,15763341|7532385
Quercetin,D011794,117-39-5,Neurotoxicity Syndromes,MESH:D020258,,CASP3,2.45,,21972528
"Hydrocarbons, Chlorinated",D006843,,Wilms Tumor,MESH:D009396,,CTNNB1,4.19,,21237236|28825729
Sunitinib,D000077210,,"Ophthalmoplegia, Chronic Progressive External",MESH:D017246,,SOD1,5.74,,11907800
INO 1001,C491685,,Cardiomyopathies,MESH:D009202,,PARP1,6.99,,20561897
"2,3,5-trichloro-6-phenyl-(1,4)benzoquinone",C587734,,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,,TLR2,4.3,,18466103|31557154
Dietary Fats,D004041,,Cerebrooculofacioskeletal Syndrome 1,MESH:C562434,,ERCC6,4.07,214150,10739753
protoberberine,C009090,19716-69-9,Lymphopenia,MESH:D008231,,IL1B,4.46,,1884014
arsenite,C015001,15502-74-6,Spinal Muscular Atrophies of Childhood,MESH:D014897,,DYNC1H1,3.64,158600,
glycidamide,C071834,,Prostatic Neoplasms,MESH:D011471,,HMOX1,63.55,,25246272
perfluorooctane sulfonic acid,C076994,1763-23-1,Schizophrenia,MESH:D012559,,DLG1,39.98,,12421351|18665322|20691406
mangiferin,C013592,4773-96-0,Prostatic Neoplasms,MESH:D011471,,CYP2A6,78.96,,21716162
schizandrin B,C015499,,Kidney Diseases,MESH:D007674,,IGF1,2.59,,8825380
sodium arsenite,C017947,13768-07-5,Chemical and Drug Induced Liver Injury,MESH:D056486,,ACOX3,15.28,,25231249
titanium dioxide,C009495,13463-67-7,Kidney Neoplasms,MESH:D007680,,ABCB1,2.75,,22311042
Capsaicin,D002211,404-86-4,Sea-Blue Histiocyte Syndrome,MESH:D012618,,APOE,4.69,269600,11095479
"4,4',4''-(4-propyl-((1)H)-pyrazole-1,3,5-triyl) tris-phenol",C486184,,"Sexual Dysfunction, Physiological",MESH:D012735,,PTGER1,12.72,,18726914
Colforsin,D005576,138605-00-2,Prostatic Neoplasms,MESH:D011471,,CYP2E1,178.78,,12771559
Testosterone,D013739,58-22-0,"Liver Cirrhosis, Experimental",MESH:D008106,,NOS3,480.78,,18555214
HS 1030,C403899,,Disease Progression,MESH:D018450,,CCNE1,7.81,,19385967
Tramadol,D014147,27203-92-5,Cataract,MESH:D002386,,VIM,3.2,,19126778
Urethane,D014520,51-79-6,Lung Neoplasms,MESH:D008175,,MIR1A-1,55.82,,23761296
"3-(4-dimethylamino-naphthalen-1-ylmethylene)-1,3-dihydro-indol-2-one",C441602,,Lung Diseases,MESH:D008171,,TNF,9.99,,11472967
Amodiaquine,D000655,86-42-0,Ureteral Obstruction,MESH:D014517,,TGFB1,3.45,,17164399
Tetradecanoylphorbol Acetate,D013755,16561-29-8,"Coronary Artery Dissection, Spontaneous",MESH:C565153,,F3,3.78,,37248441
Rolipram,D020889,61413-54-5,Pica,MESH:D010842,marker/mechanism,,,,26876616
S-Nitroso-N-Acetylpenicillamine,D026423,79032-48-7,Prostatic Neoplasms,MESH:D011471,,FASLG,41.42,,17875776
Aristolochic Acids,D034341,,Nephrogenic Fibrosing Dermopathy,MESH:D054989,,ACTA2,4.36,,20570839
bufuralol,C010831,54340-62-4,Drug Hypersensitivity,MESH:D004342,,CYP2C9,3.84,,20485159
Hydrocortisone,D006854,50-23-7,Placenta Diseases,MESH:D010922,,IGF2,4.74,,12087403
Carbon Tetrachloride,D002251,56-23-5,Glioblastoma,MESH:D005909,,FN1,29.39,,17099729
Carbon Tetrachloride,D002251,56-23-5,Hyaluronidase Deficiency,MESH:C563209,,HYAL1,4.09,601492,
Reactive Oxygen Species,D017382,,Pulmonary Emphysema,MESH:D011656,,HMOX1,19.26,,10631150
Atropine,D001285,51-55-8,Amphetamine-Related Disorders,MESH:D019969,,FOS,7.73,,19689456
Okadaic Acid,D019319,78111-17-8,"Mammary Neoplasms, Experimental",MESH:D008325,,PTK2,48.27,,24809783
argatroban,C031942,,Fatty Liver,MESH:D005234,,CCL2,7.87,,29684222
Acepromazine,D000075,61-00-7,Growth Disorders,MESH:D006130,,ACHE,4.55,,22898132
Tamoxifen,D013629,10540-29-1,Inflammatory Bowel Diseases,MESH:D015212,,RASSF1,11.94,,24146755
fenvalerate,C017690,51630-58-1,Colorectal Neoplasms,MESH:D015179,,ACKR3,35.89,,22180778
2-tert-butylhydroquinone,C018855,1948-33-0,COVID-19,MESH:D000086382,,IL2,21.82,,31986264
JTE 907,C422645,,Breast Neoplasms,MESH:D001943,,FOXP3,29.13,,17570480
Methyl Methanesulfonate,D008741,66-27-3,Heart Diseases,MESH:D006331,,CYBA,12.38,,16330681
triptolide,C001899,38748-32-2,Hypertension,MESH:D006973,,LEPR,17.65,,22949526
acetic anhydride,C031800,108-24-7,Myocarditis,MESH:D009205,,TNF,9.94,,18627770|25396421
Glucose,D005947,50-99-7,Lung Neoplasms,MESH:D008175,,ESR1,98.77,,11872642|17077188
"1,2-Dimethylhydrazine",D019813,540-73-8,Multiple Organ Failure,MESH:D009102,,HMGB1,2.62,,19265175
Imipramine,D007099,50-49-7,Kidney Diseases,MESH:D007674,,SLC22A2,3.79,,22525860
diethyl phthalate,C007379,84-66-2,"Lymphoma, T-Cell",MESH:D016399,,PPARG,6.98,,17255338
Silver,D012834,7440-22-4,Thrombosis,MESH:D013927,,PLAU,2.99,,12830724|2106299|2133253|2795766|4884574|8657906
Cannabinol,D002187,521-35-7,"Arthritis, Rheumatoid",MESH:D001172,,TNF,12.87,,12566094|2001072|22450443|34459104|8391952
Acetic Acid,D019342,64-19-7,"Carcinoma, Squamous Cell",MESH:D002294,,NFE2L2,55.8,,18572023
Flufenamic Acid,D005439,530-78-9,Obesity,MESH:D009765,,PPARG,21.67,601665,11089532|28242765
lupeol,C010480,545-47-1,"Neoplasm Recurrence, Local",MESH:D009364,,PTGS2,7.44,,14566678
titanium dioxide,C009495,13463-67-7,Brain Neoplasms,MESH:D001932,,CCND1,8.76,,20932960|27935819
Sodium Cholate,D020358,,Macular Degeneration,MESH:D008268,,TLR4,4.05,,15829498
schizandrin B,C015499,,"Influenza, Human",MESH:D007251,,STAT1,14.52,,23326326
triptonide,C084079,38647-11-9,Intellectual Disability,MESH:D008607,,RAI1,35.5,,19752160
ST2825,C525002,,"Cell Transformation, Neoplastic",MESH:D002471,,TRP53,26.01,,22009531
Nitroarginine,D019335,2149-70-4,Fever,MESH:D005334,,IL1B,7.07,,11852909|15384034|22143887|25164664|9952427
Aluminum Hydroxide,D000536,21645-51-2,Eosinophilia,MESH:D004802,,GATA3,7.89,,27315767
6alpha-ethyl-23(S)-methylcholic acid,C545501,,Pancreatic Neoplasms,MESH:D010190,,NFKBIA,4.12,,15861417
"pyrazolo(3,4-d)pyrimidine",C014175,271-80-7,Endometriosis,MESH:D004715,,VCAN,26.67,,21063030
2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,C093973,,Cocaine-Related Disorders,MESH:D019970,,HCRT,37.0,,16357203
dioscin,C019357,19057-60-4,Autistic Disorder,MESH:D001321,,IL13,11.56,,16360218
ethylbenzene,C004912,100-41-4,Amphetamine-Related Disorders,MESH:D019969,,ACHE,4.33,,16470869
Smoke,D012906,,Choledochal Cyst,MESH:D015529,,SCT,3.38,,18988797
Sizofiran,D012566,,Osteoporosis,MESH:D010024,,IL6,3.91,,15995586
Metergoline,D008711,17692-51-2,Memory Disorders,MESH:D008569,,HTR7,7.1,,21859099
Nickel,D009532,7440-02-0,Autistic Disorder,MESH:D001321,,DHCR7,100.59,,14659996
"O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphate",C009618,5598-15-2,Frontotemporal Lobar Degeneration,MESH:D057174,,SIGMAR1,4.4,,24885036
diacetoxyscirpenol,C001809,,Neoplasms,MESH:D009369,,PTGS2,5.29,,20155627
Diethylhexyl Phthalate,D004051,117-81-7,Carcinoma,MESH:D002277,,GGT1,107.31,,12376462
RTKI cpd,C101044,170449-18-0,"Diabetes Mellitus, Experimental",MESH:D003921,,VEGFA,80.34,,22191573
benzoylpaeoniflorin,C047591,38642-49-8,"Puberty, Precocious",MESH:D011629,,PTGS2,5.11,,21402727
sinomenine,C009271,115-53-7,Oral Submucous Fibrosis,MESH:D009914,,TGFB1,23.76,,16311067
Tolbutamide,D014044,64-77-7,"Carcinoma, Transitional Cell",MESH:D002295,,CCND1,9.43,,12151359
(+)-JQ1 compound,C561695,,"Neoplasm Recurrence, Local",MESH:D009364,,AR,24.09,,11742035
Dietary Fats,D004041,,Ataxia,MESH:D001259,,CP,6.69,,12572680
deoxynivalenol,C007262,51481-10-8,Gastrointestinal Stromal Tumors,MESH:D046152,,ZBTB11,20.97,,27793025
puerarin,C033607,3681-99-0,"Meningitis, Aseptic",MESH:D008582,,ALB,5.75,,5108595|5109917|5536438
Propylthiouracil,D011441,51-52-5,Glioma,MESH:D005910,,PSD3,16.66,,16865689
trilinolein,C009564,537-40-6,"Xanthomatosis, Cerebrotendinous",MESH:D019294,,CYP27A1,7.15,213700,12117727|15795599|17444890|19801147
trichostatin A,C012589,58880-19-6,"Porphyrias, Hepatic",MESH:D017094,,ALAD,3.02,,1905639|3684400
bisphenol AF,C583074,,"Dermatitis, Atopic",MESH:D003876,,IL6,8.9,,18249437
Hydrogen,D006859,1333-74-0,Fragile X Syndrome,MESH:D005600,,APP,5.09,,22046307
di-n-butylphosphoric acid,C065087,107-66-4,"Mammary Neoplasms, Experimental",MESH:D008325,,ANXA4,26.56,,16316942
